entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,06:02:15 GMT,0.423,1,1,49616,10000,4,1,5.044,-0.3,-1.513,debugAutoTest,RW0071,20200913230214
2,06:02:15 GMT,1.142,1,1,43223,10000,4,1,5.064,21.0,106.344,debugAutoTest,RW0071,20200913230214
3,06:02:16 GMT,1.861,1,1,36525,10000,4,1,5.052,22.9,115.691,debugAutoTest,RW0071,20200913230214
4,06:02:17 GMT,2.58,1,1,30759,10000,4,1,5.06,23.4,118.404,debugAutoTest,RW0071,20200913230214
