entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,17:31:40 GMT,0.003,4.996,33.6,167.866,ina219Test,RW110,20200909103140
2,17:31:41 GMT,1.009,5.02,33.7,169.174,ina219Test,RW110,20200909103140
3,17:31:42 GMT,2.014,5.016,34.1,171.046,ina219Test,RW110,20200909103140
4,17:31:43 GMT,3.02,5.016,35.4,177.566,ina219Test,RW110,20200909103140
5,17:31:44 GMT,4.026,5.024,33.7,169.309,ina219Test,RW110,20200909103140
6,17:31:45 GMT,5.031,5.036,32.5,163.67,ina219Test,RW110,20200909103140
7,17:31:46 GMT,6.151,5.016,35.4,177.566,ina219Test,RW110,20200909103140
8,17:31:47 GMT,7.156,5.028,33.6,168.941,ina219Test,RW110,20200909103140
9,17:31:48 GMT,8.162,5.04,33.2,167.328,ina219Test,RW110,20200909103140
10,17:31:49 GMT,9.167,5.028,33.8,169.946,ina219Test,RW110,20200909103140
