entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,04:06:19 GMT,0.003,5.072,33.1,167.883,ina219Test,RWuno,20200912210619
2,04:06:20 GMT,1.008,5.076,32.7,165.985,ina219Test,RWuno,20200912210619
3,04:06:21 GMT,2.014,5.088,31.8,161.798,ina219Test,RWuno,20200912210619
4,04:06:22 GMT,3.02,5.076,32.9,167.0,ina219Test,RWuno,20200912210619
5,04:06:23 GMT,4.025,5.072,33.5,169.912,ina219Test,RWuno,20200912210619
