entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,17:28:57 GMT,0.002,0.892,-0.4,-0.357,ina219Test,RW110,20200909102857
2,17:28:58 GMT,1.007,0.888,-0.1,-0.089,ina219Test,RW110,20200909102857
3,17:28:59 GMT,2.013,0.888,-0.4,-0.355,ina219Test,RW110,20200909102857
4,17:29:00 GMT,3.018,0.896,-0.5,-0.448,ina219Test,RW110,20200909102857
5,17:29:01 GMT,4.024,0.888,-0.4,-0.355,ina219Test,RW110,20200909102857
6,17:29:02 GMT,5.029,0.888,0.0,0.0,ina219Test,RW110,20200909102857
7,17:29:03 GMT,6.035,0.892,-0.1,-0.089,ina219Test,RW110,20200909102857
8,17:29:04 GMT,7.041,0.888,-0.2,-0.178,ina219Test,RW110,20200909102857
9,17:29:05 GMT,8.046,0.888,-0.4,-0.355,ina219Test,RW110,20200909102857
10,17:29:06 GMT,9.052,0.892,-0.4,-0.357,ina219Test,RW110,20200909102857
