entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,10:16:02 GMT,0.003,5.056,-0.3,-1.517,ina219Test,RW0109,20200915031602
2,10:16:03 GMT,1.008,5.072,0.0,0.0,ina219Test,RW0109,20200915031602
3,10:16:04 GMT,2.014,5.08,0.0,0.0,ina219Test,RW0109,20200915031602
4,10:16:05 GMT,3.019,5.068,-0.2,-1.014,ina219Test,RW0109,20200915031602
5,10:16:06 GMT,4.025,5.072,-0.2,-1.014,ina219Test,RW0109,20200915031602
6,10:16:07 GMT,5.031,5.068,-0.3,-1.52,ina219Test,RW0109,20200915031602
7,10:16:08 GMT,6.036,5.064,0.0,0.0,ina219Test,RW0109,20200915031602
8,10:16:09 GMT,7.042,5.076,-0.2,-1.015,ina219Test,RW0109,20200915031602
9,10:16:10 GMT,8.047,5.064,-0.1,-0.506,ina219Test,RW0109,20200915031602
10,10:16:11 GMT,9.053,5.08,-0.3,-1.524,ina219Test,RW0109,20200915031602
11,10:16:12 GMT,10.058,5.068,0.1,0.507,ina219Test,RW0109,20200915031602
12,10:16:13 GMT,11.064,5.068,-0.1,-0.507,ina219Test,RW0109,20200915031602
13,10:16:14 GMT,12.069,5.08,-0.3,-1.524,ina219Test,RW0109,20200915031602
14,10:16:15 GMT,13.075,5.064,-0.1,-0.506,ina219Test,RW0109,20200915031602
15,10:16:16 GMT,14.083,5.08,-0.2,-1.016,ina219Test,RW0109,20200915031602
16,10:16:17 GMT,15.089,5.068,0.0,0.0,ina219Test,RW0109,20200915031602
17,10:16:18 GMT,16.094,5.076,-0.3,-1.523,ina219Test,RW0109,20200915031602
18,10:16:19 GMT,17.1,5.064,-0.1,-0.506,ina219Test,RW0109,20200915031602
19,10:16:20 GMT,18.105,5.072,-0.2,-1.014,ina219Test,RW0109,20200915031602
20,10:16:21 GMT,19.111,5.068,0.1,0.507,ina219Test,RW0109,20200915031602
21,10:16:22 GMT,20.117,5.072,-0.2,-1.014,ina219Test,RW0109,20200915031602
22,10:16:23 GMT,21.122,5.072,-0.2,-1.014,ina219Test,RW0109,20200915031602
23,10:16:24 GMT,22.128,5.072,-0.2,-1.014,ina219Test,RW0109,20200915031602
24,10:16:25 GMT,23.134,5.064,0.0,0.0,ina219Test,RW0109,20200915031602
25,10:16:26 GMT,24.14,5.076,-0.1,-0.508,ina219Test,RW0109,20200915031602
26,10:16:27 GMT,25.146,5.06,-0.4,-2.024,ina219Test,RW0109,20200915031602
27,10:16:28 GMT,26.151,5.076,-0.2,-1.015,ina219Test,RW0109,20200915031602
28,10:16:29 GMT,27.157,5.084,0.0,0.0,ina219Test,RW0109,20200915031602
29,10:16:30 GMT,28.163,5.06,0.0,0.0,ina219Test,RW0109,20200915031602
30,10:16:31 GMT,29.168,5.072,-0.1,-0.507,ina219Test,RW0109,20200915031602
