entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,19:58:31 GMT,0.003,5.008,11.8,59.094,ina219Test,RW0110,20200910125831
2,19:58:32 GMT,1.008,5.028,8.7,43.744,ina219Test,RW0110,20200910125831
3,19:58:33 GMT,2.014,5.032,8.8,44.282,ina219Test,RW0110,20200910125831
4,19:58:34 GMT,3.02,5.028,9.3,46.76,ina219Test,RW0110,20200910125831
5,19:58:35 GMT,4.025,5.04,7.3,36.792,ina219Test,RW0110,20200910125831
6,19:58:36 GMT,5.031,5.04,5.7,28.728,ina219Test,RW0110,20200910125831
7,19:58:37 GMT,6.037,5.036,5.0,25.18,ina219Test,RW0110,20200910125831
8,19:58:38 GMT,7.042,5.036,5.7,28.705,ina219Test,RW0110,20200910125831
9,19:58:39 GMT,8.048,5.036,5.4,27.194,ina219Test,RW0110,20200910125831
10,19:58:40 GMT,9.053,5.036,6.6,33.238,ina219Test,RW0110,20200910125831
