entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,20:30:53 GMT,0.003,5.016,-0.1,-0.502,ina219Test,RW0110,20200909133053
2,20:30:54 GMT,1.008,5.028,-0.3,-1.508,ina219Test,RW0110,20200909133053
3,20:30:55 GMT,2.014,5.04,-0.3,-1.512,ina219Test,RW0110,20200909133053
4,20:30:56 GMT,3.019,5.052,-0.1,-0.505,ina219Test,RW0110,20200909133053
5,20:30:57 GMT,4.025,5.032,-0.4,-2.013,ina219Test,RW0110,20200909133053
6,20:30:58 GMT,5.03,5.036,-0.1,-0.504,ina219Test,RW0110,20200909133053
7,20:30:59 GMT,6.036,5.048,-0.1,-0.505,ina219Test,RW0110,20200909133053
8,20:31:00 GMT,7.041,5.032,-0.5,-2.516,ina219Test,RW0110,20200909133053
9,20:31:01 GMT,8.047,5.036,-0.1,-0.504,ina219Test,RW0110,20200909133053
10,20:31:02 GMT,9.053,5.052,0.1,0.505,ina219Test,RW0110,20200909133053
11,20:31:03 GMT,10.058,5.028,-0.1,-0.503,ina219Test,RW0110,20200909133053
12,20:31:04 GMT,11.063,5.032,-0.3,-1.51,ina219Test,RW0110,20200909133053
13,20:31:05 GMT,12.069,5.052,-0.2,-1.01,ina219Test,RW0110,20200909133053
14,20:31:06 GMT,13.075,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133053
15,20:31:07 GMT,14.08,5.032,-0.3,-1.51,ina219Test,RW0110,20200909133053
16,20:31:08 GMT,15.086,5.052,-0.3,-1.516,ina219Test,RW0110,20200909133053
17,20:31:09 GMT,16.091,5.04,-0.3,-1.512,ina219Test,RW0110,20200909133053
18,20:31:10 GMT,17.097,5.024,-0.1,-0.502,ina219Test,RW0110,20200909133053
19,20:31:11 GMT,18.102,5.044,-0.2,-1.009,ina219Test,RW0110,20200909133053
20,20:31:12 GMT,19.108,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133053
