entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,19:44:50 GMT,0.003,4.956,6.2,30.727,ina219Test,RW0110,20200910124450
2,19:44:51 GMT,1.008,4.992,5.4,26.957,ina219Test,RW0110,20200910124450
3,19:44:52 GMT,2.014,4.984,6.9,34.39,ina219Test,RW0110,20200910124450
4,19:44:53 GMT,3.019,4.984,7.2,35.885,ina219Test,RW0110,20200910124450
5,19:44:54 GMT,4.025,4.976,9.0,44.784,ina219Test,RW0110,20200910124450
6,19:44:55 GMT,5.03,4.972,10.2,50.714,ina219Test,RW0110,20200910124450
7,19:44:56 GMT,6.036,4.984,8.2,40.869,ina219Test,RW0110,20200910124450
8,19:44:57 GMT,7.041,4.988,8.3,41.4,ina219Test,RW0110,20200910124450
9,19:44:58 GMT,8.047,4.996,8.0,39.968,ina219Test,RW0110,20200910124450
10,19:44:59 GMT,9.053,5.0,5.7,28.5,ina219Test,RW0110,20200910124450
