entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,20:29:49 GMT,0.003,5.032,-0.2,-1.006,ina219Test,RW0110,20200909132949
2,20:29:50 GMT,1.008,5.048,-0.2,-1.01,ina219Test,RW0110,20200909132949
3,20:29:51 GMT,2.014,5.028,-0.2,-1.006,ina219Test,RW0110,20200909132949
4,20:29:52 GMT,3.02,5.048,-0.3,-1.514,ina219Test,RW0110,20200909132949
5,20:29:53 GMT,4.025,5.032,-0.1,-0.503,ina219Test,RW0110,20200909132949
6,20:29:54 GMT,5.031,5.044,-0.1,-0.504,ina219Test,RW0110,20200909132949
7,20:29:55 GMT,6.036,5.036,0.0,0.0,ina219Test,RW0110,20200909132949
8,20:29:56 GMT,7.042,5.032,-0.1,-0.503,ina219Test,RW0110,20200909132949
9,20:29:57 GMT,8.047,5.06,-0.1,-0.506,ina219Test,RW0110,20200909132949
10,20:29:58 GMT,9.053,5.028,-0.4,-2.011,ina219Test,RW0110,20200909132949
11,20:29:59 GMT,10.059,5.048,-0.2,-1.01,ina219Test,RW0110,20200909132949
12,20:30:00 GMT,11.064,5.032,0.0,0.0,ina219Test,RW0110,20200909132949
13,20:30:01 GMT,12.07,5.04,0.1,0.504,ina219Test,RW0110,20200909132949
14,20:30:02 GMT,13.076,5.024,-0.2,-1.005,ina219Test,RW0110,20200909132949
15,20:30:03 GMT,14.081,5.052,-0.2,-1.01,ina219Test,RW0110,20200909132949
16,20:30:04 GMT,15.087,5.032,-0.2,-1.006,ina219Test,RW0110,20200909132949
17,20:30:05 GMT,16.092,5.032,-0.2,-1.006,ina219Test,RW0110,20200909132949
18,20:30:06 GMT,17.098,5.048,-0.1,-0.505,ina219Test,RW0110,20200909132949
19,20:30:07 GMT,18.103,5.02,0.3,1.506,ina219Test,RW0110,20200909132949
20,20:30:08 GMT,19.109,5.052,0.0,0.0,ina219Test,RW0110,20200909132949
