entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:11:15 GMT,0.003,4.988,6.9,34.417,ina219Test,RW0072,20200911171115
2,00:11:16 GMT,1.007,5.008,7.5,37.56,ina219Test,RW0072,20200911171115
3,00:11:17 GMT,2.012,5.008,8.4,42.067,ina219Test,RW0072,20200911171115
4,00:11:18 GMT,3.017,5.012,10.3,51.624,ina219Test,RW0072,20200911171115
5,00:11:19 GMT,4.023,5.0,11.0,55.0,ina219Test,RW0072,20200911171115
6,00:11:20 GMT,5.029,5.008,9.7,48.578,ina219Test,RW0072,20200911171115
7,00:11:21 GMT,6.034,5.016,8.6,43.138,ina219Test,RW0072,20200911171115
8,00:11:22 GMT,7.04,5.02,8.9,44.678,ina219Test,RW0072,20200911171115
9,00:11:23 GMT,8.045,5.024,8.7,43.709,ina219Test,RW0072,20200911171115
10,00:11:24 GMT,9.051,5.024,7.3,36.675,ina219Test,RW0072,20200911171115
11,00:11:25 GMT,10.056,5.024,5.8,29.139,ina219Test,RW0072,20200911171115
12,00:11:26 GMT,11.062,5.024,5.8,29.139,ina219Test,RW0072,20200911171115
13,00:11:27 GMT,12.067,5.016,4.9,24.578,ina219Test,RW0072,20200911171115
14,00:11:28 GMT,13.073,5.012,8.0,40.096,ina219Test,RW0072,20200911171115
15,00:11:29 GMT,14.078,5.004,10.2,51.041,ina219Test,RW0072,20200911171115
16,00:11:30 GMT,15.084,5.004,10.7,53.543,ina219Test,RW0072,20200911171115
17,00:11:31 GMT,16.089,5.004,8.9,44.536,ina219Test,RW0072,20200911171115
18,00:11:32 GMT,17.095,5.012,8.8,44.106,ina219Test,RW0072,20200911171115
19,00:11:33 GMT,18.101,5.012,9.1,45.609,ina219Test,RW0072,20200911171115
20,00:11:34 GMT,19.106,5.02,7.7,38.654,ina219Test,RW0072,20200911171115
