entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:00:21 GMT,0.003,4.984,6.7,33.393,ina219Test,RW0109,20200911170021
2,00:00:22 GMT,1.008,5.016,8.9,44.642,ina219Test,RW0109,20200911170021
3,00:00:23 GMT,2.014,5.024,5.6,28.134,ina219Test,RW0109,20200911170021
4,00:00:24 GMT,3.019,5.012,8.9,44.607,ina219Test,RW0109,20200911170021
5,00:00:25 GMT,4.025,5.012,9.3,46.612,ina219Test,RW0109,20200911170021
6,00:00:26 GMT,5.031,5.016,6.8,34.109,ina219Test,RW0109,20200911170021
7,00:00:27 GMT,6.037,5.012,8.3,41.6,ina219Test,RW0109,20200911170021
8,00:00:28 GMT,7.042,5.02,6.0,30.12,ina219Test,RW0109,20200911170021
9,00:00:29 GMT,8.048,5.02,5.8,29.116,ina219Test,RW0109,20200911170021
10,00:00:30 GMT,9.053,5.008,5.9,29.547,ina219Test,RW0109,20200911170021
11,00:00:31 GMT,10.059,5.016,5.5,27.588,ina219Test,RW0109,20200911170021
12,00:00:32 GMT,11.064,5.02,6.1,30.622,ina219Test,RW0109,20200911170021
13,00:00:33 GMT,12.07,5.02,6.3,31.626,ina219Test,RW0109,20200911170021
14,00:00:34 GMT,13.075,5.004,10.2,51.041,ina219Test,RW0109,20200911170021
15,00:00:35 GMT,14.081,5.004,10.2,51.041,ina219Test,RW0109,20200911170021
16,00:00:36 GMT,15.087,5.008,10.2,51.082,ina219Test,RW0109,20200911170021
17,00:00:37 GMT,16.092,4.992,10.6,52.915,ina219Test,RW0109,20200911170021
18,00:00:38 GMT,17.098,5.004,9.6,48.038,ina219Test,RW0109,20200911170021
19,00:00:39 GMT,18.103,5.004,9.8,49.039,ina219Test,RW0109,20200911170021
20,00:00:40 GMT,19.109,5.008,8.8,44.07,ina219Test,RW0109,20200911170021
