entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,21:10:01 GMT,0.003,5.02,-0.5,-2.51,ina219Test,RW0110,20200909141001
2,21:10:02 GMT,1.008,5.036,-0.2,-1.007,ina219Test,RW0110,20200909141001
3,21:10:03 GMT,2.014,5.036,-0.3,-1.511,ina219Test,RW0110,20200909141001
4,21:10:04 GMT,3.02,5.032,-0.3,-1.51,ina219Test,RW0110,20200909141001
5,21:10:05 GMT,4.025,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
6,21:10:06 GMT,5.031,5.04,-0.3,-1.512,ina219Test,RW0110,20200909141001
7,21:10:07 GMT,6.037,5.028,0.0,0.0,ina219Test,RW0110,20200909141001
8,21:10:08 GMT,7.043,5.04,-0.3,-1.512,ina219Test,RW0110,20200909141001
9,21:10:09 GMT,8.048,5.044,0.0,0.0,ina219Test,RW0110,20200909141001
10,21:10:10 GMT,9.054,5.028,-0.3,-1.508,ina219Test,RW0110,20200909141001
11,21:10:11 GMT,10.06,5.044,-0.1,-0.504,ina219Test,RW0110,20200909141001
12,21:10:12 GMT,11.065,5.036,-0.3,-1.511,ina219Test,RW0110,20200909141001
13,21:10:14 GMT,12.071,5.032,0.0,0.0,ina219Test,RW0110,20200909141001
14,21:10:15 GMT,13.077,5.044,-0.1,-0.504,ina219Test,RW0110,20200909141001
15,21:10:16 GMT,14.083,5.028,-0.2,-1.006,ina219Test,RW0110,20200909141001
16,21:10:17 GMT,15.088,5.032,-0.1,-0.503,ina219Test,RW0110,20200909141001
17,21:10:18 GMT,16.094,5.036,-0.1,-0.504,ina219Test,RW0110,20200909141001
18,21:10:19 GMT,17.099,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
19,21:10:20 GMT,18.105,5.048,-0.3,-1.514,ina219Test,RW0110,20200909141001
20,21:10:21 GMT,19.11,5.036,-0.2,-1.007,ina219Test,RW0110,20200909141001
21,21:10:22 GMT,20.116,5.024,-0.2,-1.005,ina219Test,RW0110,20200909141001
22,21:10:23 GMT,21.122,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
23,21:10:24 GMT,22.127,5.048,-0.3,-1.514,ina219Test,RW0110,20200909141001
24,21:10:25 GMT,23.133,5.04,-0.2,-1.008,ina219Test,RW0110,20200909141001
25,21:10:26 GMT,24.138,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
26,21:10:27 GMT,25.144,5.032,-0.1,-0.503,ina219Test,RW0110,20200909141001
27,21:10:28 GMT,26.15,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
28,21:10:29 GMT,27.155,5.044,-0.3,-1.513,ina219Test,RW0110,20200909141001
29,21:10:30 GMT,28.161,5.04,-0.2,-1.008,ina219Test,RW0110,20200909141001
30,21:10:31 GMT,29.166,5.036,-0.1,-0.504,ina219Test,RW0110,20200909141001
31,21:10:32 GMT,30.172,5.028,-0.1,-0.503,ina219Test,RW0110,20200909141001
32,21:10:33 GMT,31.177,5.04,-0.1,-0.504,ina219Test,RW0110,20200909141001
33,21:10:34 GMT,32.183,5.048,-0.2,-1.01,ina219Test,RW0110,20200909141001
34,21:10:35 GMT,33.188,5.036,-0.2,-1.007,ina219Test,RW0110,20200909141001
35,21:10:36 GMT,34.194,5.024,-0.1,-0.502,ina219Test,RW0110,20200909141001
36,21:10:37 GMT,35.2,5.032,-0.1,-0.503,ina219Test,RW0110,20200909141001
37,21:10:38 GMT,36.205,5.04,-0.1,-0.504,ina219Test,RW0110,20200909141001
38,21:10:39 GMT,37.211,5.032,-0.1,-0.503,ina219Test,RW0110,20200909141001
39,21:10:40 GMT,38.217,5.028,0.0,0.0,ina219Test,RW0110,20200909141001
40,21:10:41 GMT,39.222,5.044,-0.3,-1.513,ina219Test,RW0110,20200909141001
41,21:10:42 GMT,40.228,5.032,-0.1,-0.503,ina219Test,RW0110,20200909141001
42,21:10:43 GMT,41.234,5.028,-0.3,-1.508,ina219Test,RW0110,20200909141001
43,21:10:44 GMT,42.239,5.044,-0.1,-0.504,ina219Test,RW0110,20200909141001
44,21:10:45 GMT,43.245,5.032,-0.2,-1.006,ina219Test,RW0110,20200909141001
45,21:10:46 GMT,44.251,5.032,0.0,0.0,ina219Test,RW0110,20200909141001
46,21:10:47 GMT,45.257,5.048,-0.1,-0.505,ina219Test,RW0110,20200909141001
47,21:10:48 GMT,46.262,5.048,-0.2,-1.01,ina219Test,RW0110,20200909141001
48,21:10:49 GMT,47.268,5.032,-0.3,-1.51,ina219Test,RW0110,20200909141001
49,21:10:50 GMT,48.273,5.028,-0.1,-0.503,ina219Test,RW0110,20200909141001
50,21:10:51 GMT,49.279,5.036,0.2,1.007,ina219Test,RW0110,20200909141001
