entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,20:05:22 GMT,0.002,5.012,8.3,41.6,ina219Test,RW0110,20200910130522
2,20:05:23 GMT,1.006,5.036,6.0,30.216,ina219Test,RW0110,20200910130522
3,20:05:24 GMT,2.011,5.032,8.5,42.772,ina219Test,RW0110,20200910130522
4,20:05:25 GMT,3.017,5.032,8.0,40.256,ina219Test,RW0110,20200910130522
5,20:05:26 GMT,4.022,5.036,7.4,37.266,ina219Test,RW0110,20200910130522
6,20:05:27 GMT,5.028,5.028,5.6,28.157,ina219Test,RW0110,20200910130522
7,20:05:28 GMT,6.034,5.02,8.9,44.678,ina219Test,RW0110,20200910130522
8,20:05:29 GMT,7.039,5.028,7.5,37.71,ina219Test,RW0110,20200910130522
9,20:05:30 GMT,8.045,5.028,9.1,45.755,ina219Test,RW0110,20200910130522
10,20:05:31 GMT,9.051,5.02,10.0,50.2,ina219Test,RW0110,20200910130522
