entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,19:39:18 GMT,0.003,4.96,6.5,32.24,ina219Test,RW0110,20200910123918
2,19:39:19 GMT,1.008,5.0,7.3,36.5,ina219Test,RW0110,20200910123918
3,19:39:20 GMT,2.014,5.012,5.8,29.07,ina219Test,RW0110,20200910123918
4,19:39:21 GMT,3.02,5.012,4.6,23.055,ina219Test,RW0110,20200910123918
5,19:39:22 GMT,4.025,4.996,5.8,28.977,ina219Test,RW0110,20200910123918
6,19:39:23 GMT,5.031,5.0,6.8,34.0,ina219Test,RW0110,20200910123918
7,19:39:24 GMT,6.036,4.984,9.4,46.85,ina219Test,RW0110,20200910123918
8,19:39:25 GMT,7.042,4.984,9.4,46.85,ina219Test,RW0110,20200910123918
9,19:39:26 GMT,8.047,4.992,9.2,45.926,ina219Test,RW0110,20200910123918
10,19:39:27 GMT,9.053,4.988,8.9,44.393,ina219Test,RW0110,20200910123918
