entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:45:11 GMT,0.002,5.0,7.0,35.0,ina219Test,RW0110,20200909164511
2,23:45:12 GMT,1.007,5.02,9.6,48.192,ina219Test,RW0110,20200909164511
3,23:45:13 GMT,2.013,5.012,9.2,46.11,ina219Test,RW0110,20200909164511
4,23:45:14 GMT,3.018,5.016,8.6,43.138,ina219Test,RW0110,20200909164511
5,23:45:15 GMT,4.024,5.02,7.0,35.14,ina219Test,RW0110,20200909164511
6,23:45:16 GMT,5.029,5.02,6.3,31.626,ina219Test,RW0110,20200909164511
7,23:45:17 GMT,6.035,5.02,5.9,29.618,ina219Test,RW0110,20200909164511
8,23:45:18 GMT,7.041,5.028,5.5,27.654,ina219Test,RW0110,20200909164511
9,23:45:19 GMT,8.046,5.028,5.6,28.157,ina219Test,RW0110,20200909164511
10,23:45:20 GMT,9.052,5.032,5.4,27.173,ina219Test,RW0110,20200909164511
11,23:45:21 GMT,10.057,5.036,6.7,33.741,ina219Test,RW0110,20200909164511
12,23:45:22 GMT,11.063,5.02,7.7,38.654,ina219Test,RW0110,20200909164511
13,23:45:23 GMT,12.068,5.024,9.0,45.216,ina219Test,RW0110,20200909164511
14,23:45:24 GMT,13.074,5.02,9.0,45.18,ina219Test,RW0110,20200909164511
15,23:45:25 GMT,14.079,5.016,9.4,47.15,ina219Test,RW0110,20200909164511
16,23:45:26 GMT,15.085,5.012,10.0,50.12,ina219Test,RW0110,20200909164511
17,23:45:27 GMT,16.091,5.02,9.4,47.188,ina219Test,RW0110,20200909164511
18,23:45:28 GMT,17.096,5.016,9.7,48.655,ina219Test,RW0110,20200909164511
19,23:45:29 GMT,18.102,5.008,10.6,53.085,ina219Test,RW0110,20200909164511
20,23:45:30 GMT,19.107,5.012,9.5,47.614,ina219Test,RW0110,20200909164511
