entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,20:34:02 GMT,0.003,5.008,-0.3,-1.502,ina219Test,RW0110,20200909133402
2,20:34:03 GMT,1.007,5.02,0.0,0.0,ina219Test,RW0110,20200909133402
3,20:34:04 GMT,2.012,5.024,0.0,0.0,ina219Test,RW0110,20200909133402
4,20:34:05 GMT,3.018,5.032,-0.1,-0.503,ina219Test,RW0110,20200909133402
5,20:34:06 GMT,4.023,5.04,-0.4,-2.016,ina219Test,RW0110,20200909133402
6,20:34:07 GMT,5.029,5.032,-0.3,-1.51,ina219Test,RW0110,20200909133402
7,20:34:08 GMT,6.034,5.028,0.0,0.0,ina219Test,RW0110,20200909133402
8,20:34:09 GMT,7.04,5.048,-0.5,-2.524,ina219Test,RW0110,20200909133402
9,20:34:10 GMT,8.046,5.024,-0.2,-1.005,ina219Test,RW0110,20200909133402
10,20:34:11 GMT,9.052,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133402
11,20:34:12 GMT,10.057,5.028,-0.1,-0.503,ina219Test,RW0110,20200909133402
12,20:34:13 GMT,11.063,5.044,-0.3,-1.513,ina219Test,RW0110,20200909133402
13,20:34:14 GMT,12.069,5.024,-0.1,-0.502,ina219Test,RW0110,20200909133402
14,20:34:15 GMT,13.075,5.036,-0.3,-1.511,ina219Test,RW0110,20200909133402
15,20:34:16 GMT,14.081,5.036,-0.2,-1.007,ina219Test,RW0110,20200909133402
16,20:34:17 GMT,15.086,5.036,-0.2,-1.007,ina219Test,RW0110,20200909133402
17,20:34:18 GMT,16.092,5.028,-0.3,-1.508,ina219Test,RW0110,20200909133402
18,20:34:19 GMT,17.098,5.04,-0.1,-0.504,ina219Test,RW0110,20200909133402
19,20:34:20 GMT,18.103,5.024,-0.1,-0.502,ina219Test,RW0110,20200909133402
20,20:34:21 GMT,19.109,5.04,0.0,0.0,ina219Test,RW0110,20200909133402
