entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,10:49:58 GMT,0.003,5.064,-0.3,-1.519,ina219Test,RW0110,20200915034958
2,10:49:59 GMT,1.008,5.076,-0.1,-0.508,ina219Test,RW0110,20200915034958
3,10:50:00 GMT,2.014,5.068,0.0,0.0,ina219Test,RW0110,20200915034958
4,10:50:01 GMT,3.02,5.084,0.1,0.508,ina219Test,RW0110,20200915034958
5,10:50:02 GMT,4.026,5.068,-0.2,-1.014,ina219Test,RW0110,20200915034958
6,11:00:22 GMT,624.242,5.072,-0.4,-2.029,ina219Test,RW0110,20200915034958
7,11:00:23 GMT,625.248,5.076,-0.2,-1.015,ina219Test,RW0110,20200915034958
8,11:00:24 GMT,626.253,5.068,-0.1,-0.507,ina219Test,RW0110,20200915034958
9,11:00:25 GMT,627.259,5.084,-0.4,-2.034,ina219Test,RW0110,20200915034958
10,11:00:26 GMT,628.265,5.068,-0.1,-0.507,ina219Test,RW0110,20200915034958
11,11:00:27 GMT,629.27,5.076,-0.2,-1.015,ina219Test,RW0110,20200915034958
12,11:00:28 GMT,630.276,5.068,-0.4,-2.027,ina219Test,RW0110,20200915034958
13,11:00:29 GMT,631.282,5.076,0.0,0.0,ina219Test,RW0110,20200915034958
14,11:00:30 GMT,632.287,5.064,-0.3,-1.519,ina219Test,RW0110,20200915034958
15,11:00:31 GMT,633.293,5.08,-0.1,-0.508,ina219Test,RW0110,20200915034958
16,11:00:32 GMT,634.299,5.064,-0.1,-0.506,ina219Test,RW0110,20200915034958
17,11:00:33 GMT,635.304,5.076,-0.4,-2.03,ina219Test,RW0110,20200915034958
18,11:00:34 GMT,636.31,5.068,-0.2,-1.014,ina219Test,RW0110,20200915034958
19,11:00:35 GMT,637.315,5.068,0.0,0.0,ina219Test,RW0110,20200915034958
20,11:00:36 GMT,638.321,5.068,0.3,1.52,ina219Test,RW0110,20200915034958
21,11:00:37 GMT,639.327,5.076,-0.1,-0.508,ina219Test,RW0110,20200915034958
22,11:00:38 GMT,640.332,5.064,-0.4,-2.026,ina219Test,RW0110,20200915034958
23,11:00:39 GMT,641.338,5.076,-0.2,-1.015,ina219Test,RW0110,20200915034958
24,11:00:40 GMT,642.344,5.076,-0.4,-2.03,ina219Test,RW0110,20200915034958
25,11:00:41 GMT,643.349,5.068,-0.1,-0.507,ina219Test,RW0110,20200915034958
26,11:00:42 GMT,644.355,5.072,-0.1,-0.507,ina219Test,RW0110,20200915034958
27,11:00:43 GMT,645.361,5.068,0.0,0.0,ina219Test,RW0110,20200915034958
28,11:00:44 GMT,646.366,5.068,-0.1,-0.507,ina219Test,RW0110,20200915034958
29,11:00:45 GMT,647.372,5.072,-0.3,-1.522,ina219Test,RW0110,20200915034958
30,11:00:46 GMT,648.378,5.068,-0.1,-0.507,ina219Test,RW0110,20200915034958
