entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,18:55:59 GMT,0.003,4.992,10.8,53.914,ina219Test,RW0110,20200911115559
2,18:56:00 GMT,1.008,5.032,5.5,27.676,ina219Test,RW0110,20200911115559
3,18:56:01 GMT,2.014,5.02,8.9,44.678,ina219Test,RW0110,20200911115559
4,18:56:02 GMT,3.019,5.02,7.5,37.65,ina219Test,RW0110,20200911115559
5,18:56:03 GMT,4.025,5.02,7.6,38.152,ina219Test,RW0110,20200911115559
6,18:56:04 GMT,5.031,5.012,9.4,47.113,ina219Test,RW0110,20200911115559
7,18:56:05 GMT,6.036,5.02,6.1,30.622,ina219Test,RW0110,20200911115559
8,18:56:06 GMT,7.042,5.028,5.4,27.151,ina219Test,RW0110,20200911115559
9,18:56:07 GMT,8.048,5.012,9.4,47.113,ina219Test,RW0110,20200911115559
10,18:56:08 GMT,9.053,5.02,6.4,32.128,ina219Test,RW0110,20200911115559
