entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:44:52 GMT,0.003,4.992,7.8,38.938,ina219Test,RW0110,20200909164452
2,23:44:53 GMT,1.008,5.032,8.0,40.256,ina219Test,RW0110,20200909164452
3,23:44:54 GMT,2.014,5.024,8.2,41.197,ina219Test,RW0110,20200909164452
4,23:44:55 GMT,3.02,5.024,9.4,47.226,ina219Test,RW0110,20200909164452
5,23:44:56 GMT,4.025,5.02,8.7,43.674,ina219Test,RW0110,20200909164452
6,23:44:57 GMT,5.031,5.012,9.0,45.108,ina219Test,RW0110,20200909164452
7,23:44:58 GMT,6.036,5.016,9.6,48.154,ina219Test,RW0110,20200909164452
8,23:44:59 GMT,7.042,5.016,10.2,51.163,ina219Test,RW0110,20200909164452
9,23:45:00 GMT,8.048,5.008,9.3,46.574,ina219Test,RW0110,20200909164452
10,23:45:01 GMT,9.053,5.02,7.7,38.654,ina219Test,RW0110,20200909164452
