entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,05:58:19 GMT,0.003,5.036,-0.3,-1.511,ina219Test,RW0071,20200914225819
2,05:58:20 GMT,1.008,5.064,-0.3,-1.519,ina219Test,RW0071,20200914225819
3,05:58:21 GMT,2.014,5.068,-0.1,-0.507,ina219Test,RW0071,20200914225819
4,05:58:22 GMT,3.02,5.052,0.0,0.0,ina219Test,RW0071,20200914225819
5,05:58:23 GMT,4.026,5.072,-0.2,-1.014,ina219Test,RW0071,20200914225819
6,05:58:24 GMT,5.031,5.056,-0.2,-1.011,ina219Test,RW0071,20200914225819
7,05:58:25 GMT,6.037,5.064,-0.3,-1.519,ina219Test,RW0071,20200914225819
8,05:58:26 GMT,7.043,5.056,-0.1,-0.506,ina219Test,RW0071,20200914225819
9,05:58:27 GMT,8.049,5.072,-0.1,-0.507,ina219Test,RW0071,20200914225819
10,05:58:28 GMT,9.054,5.056,-0.2,-1.011,ina219Test,RW0071,20200914225819
11,05:58:29 GMT,10.06,5.064,-0.1,-0.506,ina219Test,RW0071,20200914225819
12,05:58:30 GMT,11.066,5.056,-0.1,-0.506,ina219Test,RW0071,20200914225819
13,05:58:31 GMT,12.071,5.076,-0.3,-1.523,ina219Test,RW0071,20200914225819
14,05:58:32 GMT,13.077,5.056,-0.1,-0.506,ina219Test,RW0071,20200914225819
15,05:58:33 GMT,14.083,5.068,0.0,0.0,ina219Test,RW0071,20200914225819
16,05:58:34 GMT,15.089,5.06,-0.2,-1.012,ina219Test,RW0071,20200914225819
17,05:58:35 GMT,16.094,5.068,0.0,0.0,ina219Test,RW0071,20200914225819
18,05:58:36 GMT,17.1,5.06,-0.3,-1.518,ina219Test,RW0071,20200914225819
19,05:58:37 GMT,18.106,5.06,-0.1,-0.506,ina219Test,RW0071,20200914225819
20,05:58:38 GMT,19.112,5.064,-0.2,-1.013,ina219Test,RW0071,20200914225819
21,05:58:39 GMT,20.117,5.068,-0.1,-0.507,ina219Test,RW0071,20200914225819
22,05:58:40 GMT,21.123,5.06,0.1,0.506,ina219Test,RW0071,20200914225819
23,05:58:41 GMT,22.129,5.06,0.0,0.0,ina219Test,RW0071,20200914225819
24,05:58:42 GMT,23.134,5.064,0.0,0.0,ina219Test,RW0071,20200914225819
25,05:58:43 GMT,24.14,5.064,-0.1,-0.506,ina219Test,RW0071,20200914225819
26,05:58:44 GMT,25.146,5.064,0.2,1.013,ina219Test,RW0071,20200914225819
27,05:58:45 GMT,26.151,5.056,-0.2,-1.011,ina219Test,RW0071,20200914225819
28,05:58:46 GMT,27.157,5.068,0.0,0.0,ina219Test,RW0071,20200914225819
29,05:58:47 GMT,28.163,5.064,-0.1,-0.506,ina219Test,RW0071,20200914225819
30,05:58:48 GMT,29.169,5.064,-0.2,-1.013,ina219Test,RW0071,20200914225819
