entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,02:49:44 GMT,0.002,5.04,5.4,27.216,ina219Test,RW0071,20200914194944
2,02:49:45 GMT,1.007,5.052,5.6,28.291,ina219Test,RW0071,20200914194944
3,02:49:46 GMT,2.013,5.048,9.6,48.461,ina219Test,RW0071,20200914194944
4,02:49:47 GMT,3.018,5.056,6.0,30.336,ina219Test,RW0071,20200914194944
5,02:49:48 GMT,4.024,5.04,10.4,52.416,ina219Test,RW0071,20200914194944
6,02:49:49 GMT,5.029,5.064,7.0,35.448,ina219Test,RW0071,20200914194944
7,02:49:50 GMT,6.035,5.048,9.9,49.975,ina219Test,RW0071,20200914194944
8,02:49:51 GMT,7.04,5.056,7.8,39.437,ina219Test,RW0071,20200914194944
9,02:49:52 GMT,8.046,5.048,7.9,39.879,ina219Test,RW0071,20200914194944
10,02:49:53 GMT,9.052,5.056,7.7,38.931,ina219Test,RW0071,20200914194944
11,02:49:54 GMT,10.057,5.044,7.6,38.334,ina219Test,RW0071,20200914194944
12,02:49:55 GMT,11.063,5.056,8.8,44.493,ina219Test,RW0071,20200914194944
13,02:49:56 GMT,12.068,5.056,5.6,28.314,ina219Test,RW0071,20200914194944
14,02:49:57 GMT,13.074,5.048,8.7,43.918,ina219Test,RW0071,20200914194944
15,02:49:58 GMT,14.079,5.052,6.1,30.817,ina219Test,RW0071,20200914194944
16,02:49:59 GMT,15.085,5.056,9.0,45.504,ina219Test,RW0071,20200914194944
17,02:50:00 GMT,16.091,5.056,5.3,26.797,ina219Test,RW0071,20200914194944
18,02:50:01 GMT,17.096,5.048,9.0,45.432,ina219Test,RW0071,20200914194944
19,02:50:02 GMT,18.102,5.056,6.1,30.842,ina219Test,RW0071,20200914194944
20,02:50:03 GMT,19.107,5.052,9.1,45.973,ina219Test,RW0071,20200914194944
21,02:50:04 GMT,20.113,5.044,6.3,31.777,ina219Test,RW0071,20200914194944
22,02:50:05 GMT,21.119,5.052,8.5,42.942,ina219Test,RW0071,20200914194944
23,02:50:06 GMT,22.124,5.052,5.9,29.807,ina219Test,RW0071,20200914194944
24,02:50:07 GMT,23.13,5.048,9.9,49.975,ina219Test,RW0071,20200914194944
25,02:50:08 GMT,24.135,5.056,5.7,28.819,ina219Test,RW0071,20200914194944
26,02:50:09 GMT,25.141,5.056,9.4,47.526,ina219Test,RW0071,20200914194944
27,02:50:10 GMT,26.146,5.044,5.9,29.76,ina219Test,RW0071,20200914194944
28,02:50:11 GMT,27.152,5.052,9.0,45.468,ina219Test,RW0071,20200914194944
29,02:50:12 GMT,28.158,5.06,4.7,23.782,ina219Test,RW0071,20200914194944
30,02:50:13 GMT,29.163,5.044,10.3,51.953,ina219Test,RW0071,20200914194944
31,02:50:14 GMT,30.169,5.068,5.1,25.847,ina219Test,RW0071,20200914194944
32,02:50:15 GMT,31.174,5.048,10.0,50.48,ina219Test,RW0071,20200914194944
33,02:50:16 GMT,32.18,5.056,7.6,38.426,ina219Test,RW0071,20200914194944
34,02:50:17 GMT,33.194,5.048,6.6,33.317,ina219Test,RW0071,20200914194944
35,02:50:18 GMT,34.199,5.052,8.0,40.416,ina219Test,RW0071,20200914194944
36,02:50:19 GMT,35.205,5.048,7.8,39.374,ina219Test,RW0071,20200914194944
37,02:50:20 GMT,36.21,5.056,8.4,42.47,ina219Test,RW0071,20200914194944
38,02:50:21 GMT,37.216,5.048,5.5,27.764,ina219Test,RW0071,20200914194944
39,02:50:22 GMT,38.222,5.056,9.1,46.01,ina219Test,RW0071,20200914194944
40,02:50:23 GMT,39.227,5.056,5.4,27.302,ina219Test,RW0071,20200914194944
41,02:50:24 GMT,40.233,5.048,9.8,49.47,ina219Test,RW0071,20200914194944
42,02:50:25 GMT,41.238,5.064,5.6,28.358,ina219Test,RW0071,20200914194944
43,02:50:26 GMT,42.244,5.048,9.9,49.975,ina219Test,RW0071,20200914194944
44,02:50:27 GMT,43.249,5.056,6.6,33.37,ina219Test,RW0071,20200914194944
45,02:50:28 GMT,44.255,5.044,7.6,38.334,ina219Test,RW0071,20200914194944
46,02:50:29 GMT,45.26,5.056,8.2,41.459,ina219Test,RW0071,20200914194944
47,02:50:30 GMT,46.266,5.052,5.4,27.281,ina219Test,RW0071,20200914194944
48,02:50:31 GMT,47.271,5.048,9.4,47.451,ina219Test,RW0071,20200914194944
49,02:50:32 GMT,48.277,5.064,5.0,25.32,ina219Test,RW0071,20200914194944
50,02:50:33 GMT,49.282,5.04,10.3,51.912,ina219Test,RW0071,20200914194944
51,02:50:34 GMT,50.288,5.064,5.0,25.32,ina219Test,RW0071,20200914194944
52,02:50:35 GMT,51.293,5.044,9.8,49.431,ina219Test,RW0071,20200914194944
53,02:50:36 GMT,52.299,5.052,7.6,38.395,ina219Test,RW0071,20200914194944
54,02:50:37 GMT,53.304,5.048,7.6,38.365,ina219Test,RW0071,20200914194944
55,02:50:38 GMT,54.31,5.056,7.3,36.909,ina219Test,RW0071,20200914194944
56,02:50:39 GMT,55.316,5.04,9.7,48.888,ina219Test,RW0071,20200914194944
57,02:50:40 GMT,56.321,5.064,7.3,36.967,ina219Test,RW0071,20200914194944
58,02:50:41 GMT,57.327,5.052,7.1,35.869,ina219Test,RW0071,20200914194944
59,02:50:42 GMT,58.332,5.048,9.0,45.432,ina219Test,RW0071,20200914194944
60,02:50:43 GMT,59.338,5.048,5.0,25.24,ina219Test,RW0071,20200914194944
61,02:50:44 GMT,60.343,5.056,9.2,46.515,ina219Test,RW0071,20200914194944
