entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:34:10 GMT,0.003,4.992,10.9,54.413,ina219Test,RW0071,20200911173410
2,00:34:11 GMT,1.008,5.02,9.3,46.686,ina219Test,RW0071,20200911173410
3,00:34:12 GMT,2.014,5.028,7.7,38.716,ina219Test,RW0071,20200911173410
4,00:34:13 GMT,3.019,5.036,7.3,36.763,ina219Test,RW0071,20200911173410
5,00:34:14 GMT,4.025,5.036,5.3,26.691,ina219Test,RW0071,20200911173410
6,00:34:15 GMT,5.031,5.012,7.7,38.592,ina219Test,RW0071,20200911173410
7,00:34:16 GMT,6.036,5.016,9.6,48.154,ina219Test,RW0071,20200911173410
8,00:34:17 GMT,7.042,5.016,9.0,45.144,ina219Test,RW0071,20200911173410
9,00:34:18 GMT,8.047,5.016,9.7,48.655,ina219Test,RW0071,20200911173410
10,00:34:19 GMT,9.053,5.024,9.4,47.226,ina219Test,RW0071,20200911173410
11,00:34:20 GMT,10.058,5.032,7.5,37.74,ina219Test,RW0071,20200911173410
12,00:34:21 GMT,11.064,5.032,6.9,34.721,ina219Test,RW0071,20200911173410
13,00:34:22 GMT,12.069,5.036,5.5,27.698,ina219Test,RW0071,20200911173410
14,00:34:23 GMT,13.075,5.024,5.3,26.627,ina219Test,RW0071,20200911173410
15,00:34:24 GMT,14.08,5.012,6.6,33.079,ina219Test,RW0071,20200911173410
16,00:34:25 GMT,15.092,5.024,9.0,45.216,ina219Test,RW0071,20200911173410
17,00:34:26 GMT,16.098,5.02,8.7,43.674,ina219Test,RW0071,20200911173410
18,00:34:27 GMT,17.103,5.028,7.8,39.218,ina219Test,RW0071,20200911173410
19,00:34:28 GMT,18.109,5.032,5.7,28.682,ina219Test,RW0071,20200911173410
20,00:34:29 GMT,19.114,5.032,5.4,27.173,ina219Test,RW0071,20200911173410
