entry,timeGMT,timeELA_s,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,02:44:38 GMT,0.003,5.052,5.2,26.27,ina219Test,RW0071,20200914194437
2,02:44:39 GMT,1.008,5.064,6.1,30.89,ina219Test,RW0071,20200914194437
3,02:44:40 GMT,2.014,5.052,9.3,46.984,ina219Test,RW0071,20200914194437
4,02:44:41 GMT,3.019,5.068,7.0,35.476,ina219Test,RW0071,20200914194437
5,02:44:42 GMT,4.031,5.048,10.0,50.48,ina219Test,RW0071,20200914194437
6,02:44:43 GMT,5.037,5.072,5.2,26.374,ina219Test,RW0071,20200914194437
7,02:44:44 GMT,6.042,5.056,9.8,49.549,ina219Test,RW0071,20200914194437
8,02:44:45 GMT,7.048,5.064,5.8,29.371,ina219Test,RW0071,20200914194437
9,02:44:46 GMT,8.054,5.052,9.6,48.499,ina219Test,RW0071,20200914194437
10,02:44:47 GMT,9.065,5.052,6.2,31.322,ina219Test,RW0071,20200914194437
11,02:44:48 GMT,10.07,5.064,8.9,45.07,ina219Test,RW0071,20200914194437
12,02:44:49 GMT,11.076,5.06,7.3,36.938,ina219Test,RW0071,20200914194437
13,02:44:50 GMT,12.081,5.068,7.5,38.01,ina219Test,RW0071,20200914194437
14,02:44:51 GMT,13.087,5.052,10.6,53.551,ina219Test,RW0071,20200914194437
15,02:44:52 GMT,14.093,5.072,5.2,26.374,ina219Test,RW0071,20200914194437
16,02:44:53 GMT,15.098,5.06,9.0,45.54,ina219Test,RW0071,20200914194437
17,02:44:54 GMT,16.104,5.056,5.5,27.808,ina219Test,RW0071,20200914194437
18,02:44:55 GMT,17.11,5.056,9.6,48.538,ina219Test,RW0071,20200914194437
19,02:44:56 GMT,18.115,5.06,5.7,28.842,ina219Test,RW0071,20200914194437
20,02:44:57 GMT,19.121,5.064,7.7,38.993,ina219Test,RW0071,20200914194437
21,02:44:58 GMT,20.126,5.044,10.4,52.458,ina219Test,RW0071,20200914194437
22,02:44:59 GMT,21.132,5.072,5.4,27.389,ina219Test,RW0071,20200914194437
23,02:45:00 GMT,22.138,5.056,9.4,47.526,ina219Test,RW0071,20200914194437
24,02:45:01 GMT,23.143,5.056,6.0,30.336,ina219Test,RW0071,20200914194437
25,02:45:02 GMT,24.149,5.064,7.8,39.499,ina219Test,RW0071,20200914194437
26,02:45:03 GMT,25.155,5.056,11.5,58.144,ina219Test,RW0071,20200914194437
27,02:45:04 GMT,26.16,5.064,5.4,27.346,ina219Test,RW0071,20200914194437
28,02:45:05 GMT,27.166,5.048,9.5,47.956,ina219Test,RW0071,20200914194437
29,02:45:06 GMT,28.172,5.056,5.7,28.819,ina219Test,RW0071,20200914194437
30,02:45:07 GMT,29.177,5.064,5.2,26.333,ina219Test,RW0071,20200914194437
