entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:56:08 GMT,0.354,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
2,00:56:09 GMT,0.66,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
3,00:56:09 GMT,0.967,0,0,0,0,0,0,0.884,-0.2,-0.177,stepSpeedTest,RW3,20200908175608
4,00:56:09 GMT,1.324,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
5,00:56:10 GMT,1.631,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
6,00:56:10 GMT,1.937,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
7,00:56:10 GMT,2.248,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
8,00:56:11 GMT,2.613,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
9,00:56:11 GMT,2.919,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
10,00:56:11 GMT,3.226,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175608
11,00:56:12 GMT,3.537,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175608
12,00:56:12 GMT,3.907,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
13,00:56:12 GMT,4.213,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
14,00:56:13 GMT,4.522,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
15,00:56:13 GMT,4.833,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175608
16,00:56:13 GMT,5.198,0,0,0,0,0,0,0.884,-0.1,-0.088,stepSpeedTest,RW3,20200908175608
17,00:56:13 GMT,5.505,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
18,00:56:14 GMT,5.811,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
19,00:56:14 GMT,6.122,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
20,00:56:14 GMT,6.482,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
21,00:56:15 GMT,6.789,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
22,00:56:15 GMT,7.097,0,0,0,0,0,0,0.892,0.0,0.0,stepSpeedTest,RW3,20200908175608
23,00:56:15 GMT,7.408,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
24,00:56:16 GMT,7.774,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
25,00:56:16 GMT,8.08,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
26,00:56:16 GMT,8.387,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
27,00:56:17 GMT,8.697,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
28,00:56:17 GMT,9.073,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
29,00:56:17 GMT,9.379,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
30,00:56:18 GMT,9.688,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175608
31,00:56:18 GMT,9.999,0,0,0,0,0,0,0.892,-0.5,-0.446,stepSpeedTest,RW3,20200908175608
32,00:56:18 GMT,10.364,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
33,00:56:19 GMT,10.67,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
34,00:56:19 GMT,10.977,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175608
35,00:56:19 GMT,11.288,0,0,0,0,0,0,0.888,-0.5,-0.444,stepSpeedTest,RW3,20200908175608
36,00:56:20 GMT,11.653,0,0,0,0,0,0,0.884,-0.1,-0.088,stepSpeedTest,RW3,20200908175608
37,00:56:20 GMT,11.96,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175608
38,00:56:20 GMT,12.268,0,0,0,0,0,0,0.884,-0.4,-0.354,stepSpeedTest,RW3,20200908175608
39,00:56:21 GMT,12.579,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
40,00:56:21 GMT,12.95,0,0,0,0,0,0,0.884,-0.2,-0.177,stepSpeedTest,RW3,20200908175608
41,00:56:21 GMT,13.256,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
42,00:56:22 GMT,13.563,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
43,00:56:22 GMT,13.873,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
44,00:56:22 GMT,14.238,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
45,00:56:23 GMT,14.545,0,0,0,0,0,0,0.892,-0.6,-0.535,stepSpeedTest,RW3,20200908175608
46,00:56:23 GMT,14.853,0,0,0,0,0,0,0.888,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
47,00:56:23 GMT,15.164,0,0,0,0,0,0,0.888,-0.3,-0.266,stepSpeedTest,RW3,20200908175608
48,00:56:24 GMT,15.53,0,0,0,0,0,0,0.892,-0.1,-0.089,stepSpeedTest,RW3,20200908175608
49,00:56:24 GMT,15.836,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
50,00:56:24 GMT,16.143,0,0,0,0,0,0,0.892,-0.4,-0.357,stepSpeedTest,RW3,20200908175608
51,00:56:24 GMT,16.453,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
52,00:56:25 GMT,16.823,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
53,00:56:25 GMT,17.13,0,0,0,0,0,0,0.892,-0.6,-0.535,stepSpeedTest,RW3,20200908175608
54,00:56:25 GMT,17.438,0,0,0,0,0,0,0.884,-0.3,-0.265,stepSpeedTest,RW3,20200908175608
55,00:56:26 GMT,17.749,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
56,00:56:26 GMT,18.109,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
57,00:56:26 GMT,18.416,0,0,0,0,0,0,0.888,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
58,00:56:27 GMT,18.723,0,0,0,0,0,0,0.888,-0.4,-0.355,stepSpeedTest,RW3,20200908175608
59,00:56:27 GMT,19.033,0,0,0,0,0,0,0.888,-0.5,-0.444,stepSpeedTest,RW3,20200908175608
60,00:56:27 GMT,19.404,0,0,0,0,0,0,0.884,-0.2,-0.177,stepSpeedTest,RW3,20200908175608
61,00:56:28 GMT,19.711,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
62,00:56:28 GMT,20.019,0,0,0,0,0,0,0.884,-0.1,-0.088,stepSpeedTest,RW3,20200908175608
63,00:56:28 GMT,20.33,0,0,0,0,0,0,0.892,-0.2,-0.178,stepSpeedTest,RW3,20200908175608
64,00:56:29 GMT,20.695,0,0,0,0,0,0,0.892,-0.3,-0.268,stepSpeedTest,RW3,20200908175608
65,00:56:29 GMT,21.002,0,0,0,0,0,0,0.884,-0.2,-0.177,stepSpeedTest,RW3,20200908175608
66,00:56:29 GMT,21.308,0,0,0,0,0,0,0.892,-0.5,-0.446,stepSpeedTest,RW3,20200908175608
