entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,05:08:00 GMT,0.408,1,1,0,0,4,1,5.02,8.6,43.172,fixedRpmNoiseTest,RW0-0071,20200914220759
2,05:08:00 GMT,0.726,1,1,0,0,1,1,5.036,10.6,53.382,fixedRpmNoiseTest,RW0-0071,20200914220759
3,05:08:00 GMT,1.045,1,1,0,0,1,1,5.048,9.6,48.461,fixedRpmNoiseTest,RW0-0071,20200914220759
4,05:08:01 GMT,1.364,1,1,0,0,1,1,5.052,9.2,46.478,fixedRpmNoiseTest,RW0-0071,20200914220759
5,05:08:01 GMT,1.684,1,1,0,0,1,1,5.048,8.8,44.422,fixedRpmNoiseTest,RW0-0071,20200914220759
6,05:08:01 GMT,2.003,1,1,0,0,1,1,5.04,8.8,44.352,fixedRpmNoiseTest,RW0-0071,20200914220759
7,05:08:02 GMT,2.322,1,1,0,0,1,1,5.048,6.9,34.831,fixedRpmNoiseTest,RW0-0071,20200914220759
8,05:08:02 GMT,2.729,1,1,0,65000,4,1,4.964,388.0,1926.032,fixedRpmNoiseTest,RW0-0071,20200914220759
9,05:08:02 GMT,3.049,1,1,2852,65000,4,1,4.944,475.7,2351.861,fixedRpmNoiseTest,RW0-0071,20200914220759
10,05:08:03 GMT,3.368,1,1,6215,65000,4,1,4.936,480.0,2369.28,fixedRpmNoiseTest,RW0-0071,20200914220759
11,05:08:03 GMT,3.687,1,1,9421,65000,4,1,4.9,581.6,2849.84,fixedRpmNoiseTest,RW0-0071,20200914220759
12,05:08:03 GMT,4.006,1,1,12853,65000,4,1,4.924,578.1,2846.564,fixedRpmNoiseTest,RW0-0071,20200914220759
13,05:08:04 GMT,4.325,1,1,16445,65000,4,1,4.924,547.7,2696.875,fixedRpmNoiseTest,RW0-0071,20200914220759
14,05:08:04 GMT,4.644,1,1,19599,65000,4,1,4.92,513.6,2526.912,fixedRpmNoiseTest,RW0-0071,20200914220759
15,05:08:04 GMT,4.963,1,1,22931,65000,4,1,4.948,476.7,2358.712,fixedRpmNoiseTest,RW0-0071,20200914220759
16,05:08:05 GMT,5.282,1,1,25872,65000,4,1,4.96,466.9,2315.824,fixedRpmNoiseTest,RW0-0071,20200914220759
17,05:08:05 GMT,5.602,1,1,28715,65000,4,1,4.944,445.6,2203.046,fixedRpmNoiseTest,RW0-0071,20200914220759
18,05:08:05 GMT,5.921,1,1,31299,65000,4,1,4.952,423.3,2096.182,fixedRpmNoiseTest,RW0-0071,20200914220759
19,05:08:06 GMT,6.24,1,1,33680,65000,4,1,4.964,401.3,1992.053,fixedRpmNoiseTest,RW0-0071,20200914220759
20,05:08:06 GMT,6.559,1,1,35895,65000,4,1,4.96,379.5,1882.32,fixedRpmNoiseTest,RW0-0071,20200914220759
21,05:08:06 GMT,6.878,1,1,38067,65000,4,1,4.956,366.3,1815.383,fixedRpmNoiseTest,RW0-0071,20200914220759
22,05:08:07 GMT,7.197,1,1,40096,65000,4,1,4.968,331.9,1648.879,fixedRpmNoiseTest,RW0-0071,20200914220759
23,05:08:07 GMT,7.516,1,1,41998,65000,4,1,4.98,334.6,1666.308,fixedRpmNoiseTest,RW0-0071,20200914220759
24,05:08:07 GMT,7.835,1,1,43785,65000,4,1,4.98,311.1,1549.278,fixedRpmNoiseTest,RW0-0071,20200914220759
25,05:08:08 GMT,8.155,1,1,45468,65000,4,1,4.972,299.5,1489.114,fixedRpmNoiseTest,RW0-0071,20200914220759
26,05:08:08 GMT,8.474,1,1,46993,65000,4,1,4.988,294.5,1468.966,fixedRpmNoiseTest,RW0-0071,20200914220759
27,05:08:08 GMT,8.793,1,1,48496,65000,4,1,4.988,273.7,1365.216,fixedRpmNoiseTest,RW0-0071,20200914220759
28,05:08:09 GMT,9.112,1,1,49868,65000,4,1,4.984,255.6,1273.91,fixedRpmNoiseTest,RW0-0071,20200914220759
29,05:08:09 GMT,9.431,1,1,51177,65000,4,1,4.992,250.5,1250.496,fixedRpmNoiseTest,RW0-0071,20200914220759
30,05:08:09 GMT,9.751,1,1,52375,65000,4,1,5.0,242.4,1212.0,fixedRpmNoiseTest,RW0-0071,20200914220759
31,05:08:10 GMT,10.07,1,1,53559,65000,4,1,4.992,233.6,1166.131,fixedRpmNoiseTest,RW0-0071,20200914220759
32,05:08:10 GMT,10.389,1,1,54611,65000,4,1,4.996,216.7,1082.633,fixedRpmNoiseTest,RW0-0071,20200914220759
33,05:08:10 GMT,10.708,1,1,55652,65000,4,1,4.996,204.5,1021.682,fixedRpmNoiseTest,RW0-0071,20200914220759
34,05:08:10 GMT,11.027,1,1,56607,65000,4,1,5.0,205.5,1027.5,fixedRpmNoiseTest,RW0-0071,20200914220759
35,05:08:11 GMT,11.346,1,1,57491,65000,4,1,4.992,210.4,1050.317,fixedRpmNoiseTest,RW0-0071,20200914220759
36,05:08:11 GMT,11.665,1,1,58340,65000,4,1,5.0,192.6,963.0,fixedRpmNoiseTest,RW0-0071,20200914220759
37,05:08:12 GMT,12.985,spiError,5.028,180.7,908.56,fixedRpmNoiseTest,RW0-0071,20200914220759
38,05:08:14 GMT,14.306,spiError,5.028,121.6,611.405,fixedRpmNoiseTest,RW0-0071,20200914220759
39,05:08:15 GMT,15.626,spiError,5.036,73.7,371.153,fixedRpmNoiseTest,RW0-0071,20200914220759
40,05:08:17 GMT,18.035,spiError,5.052,83.7,422.852,fixedRpmNoiseTest,RW0-0071,20200914220759
