entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:41:58 GMT,0.353,1,1,9500,10000,4,1,0.884,-0.1,-0.088,rampSpeedTest,RW2,20200904164158
2,23:41:59 GMT,0.698,1,1,9975,10500,4,1,0.888,0.0,0.0,rampSpeedTest,RW2,20200904164158
3,23:41:59 GMT,1.039,1,1,10450,11000,4,1,0.888,-0.5,-0.444,rampSpeedTest,RW2,20200904164158
4,23:41:59 GMT,1.384,1,1,10925,11500,4,1,0.892,-0.2,-0.178,rampSpeedTest,RW2,20200904164158
5,23:42:00 GMT,1.729,1,1,11400,12000,4,1,0.888,-0.2,-0.178,rampSpeedTest,RW2,20200904164158
6,23:42:00 GMT,2.076,1,1,11875,12500,4,1,0.888,-0.2,-0.178,rampSpeedTest,RW2,20200904164158
7,23:42:00 GMT,2.431,1,1,12350,13000,4,1,0.884,-0.1,-0.088,rampSpeedTest,RW2,20200904164158
8,23:42:01 GMT,2.778,1,1,12825,13500,4,1,0.888,-0.3,-0.266,rampSpeedTest,RW2,20200904164158
9,23:42:01 GMT,3.118,1,1,13300,14000,4,1,0.888,-0.2,-0.178,rampSpeedTest,RW2,20200904164158
10,23:42:01 GMT,3.464,0,1,13775,14500,126,1,0.888,-0.3,-0.266,rampSpeedTest,RW2,20200904164158
11,23:42:02 GMT,3.809,1,1,14250,15000,4,1,0.888,-0.5,-0.444,rampSpeedTest,RW2,20200904164158
12,23:42:02 GMT,4.154,1,1,14725,15500,4,1,0.888,-0.2,-0.178,rampSpeedTest,RW2,20200904164158
13,23:42:02 GMT,4.501,1,1,15200,16000,4,1,0.888,-0.3,-0.266,rampSpeedTest,RW2,20200904164158
14,23:42:03 GMT,5.172,1,1,15675,16500,4,1,0.888,-0.3,-0.266,rampSpeedTest,RW2,20200904164158
