Alpha,Beta,Sun Detection,Error Code
-24.4862003326416,-20.649578094482422,13.28717041015625,11
-24.697063446044922,-20.615201950073242,13.311724662780762,11
-24.736064910888672,-20.479833602905273,13.317453384399414,11
-24.721426010131836,-20.461280822753906,13.297338485717773,11
-24.61810874938965,-20.35845184326172,13.296548843383789,11
-24.481586456298828,-20.376916885375977,13.321133613586426,11
-24.44902992248535,-20.474422454833984,13.312050819396973,11
-24.66341781616211,-20.765390396118164,13.243972778320312,11
-24.359539031982422,-20.541200637817383,13.322566986083984,11
-24.4163875579834,-20.55916976928711,13.33292007446289,11
-24.626243591308594,-20.638404846191406,13.292072296142578,11
-24.649433135986328,-20.704750061035156,13.248588562011719,11
-24.58196449279785,-20.740150451660156,13.241718292236328,11
-24.592243194580078,-20.725234985351562,13.22426986694336,11
-24.80675506591797,-20.96438980102539,13.208148956298828,11
-24.679872512817383,-20.7056827545166,13.296455383300781,11
-24.568988800048828,-20.553691864013672,13.290961265563965,11
-24.497575759887695,-20.56032943725586,13.284736633300781,11
-24.646944046020508,-20.789133071899414,13.256772994995117,11
-24.902050018310547,-20.986316680908203,13.199498176574707,11
-24.85718536376953,-20.951499938964844,13.187453269958496,11
-24.627832412719727,-20.87718963623047,13.235116958618164,11
-24.523786544799805,-20.809307098388672,13.264732360839844,11
-24.696298599243164,-20.90753173828125,13.219966888427734,11
-24.754690170288086,-20.837413787841797,13.212420463562012,11
-24.6868839263916,-20.760028839111328,13.232357025146484,11
-24.67676544189453,-20.855466842651367,13.2254638671875,11
-24.652061462402344,-20.65332794189453,13.252836227416992,11
-24.799043655395508,-20.757522583007812,13.236942291259766,11
-24.75680923461914,-20.79271697998047,13.256113052368164,11
-24.579042434692383,-20.709386825561523,13.274683952331543,11
-24.745698928833008,-20.731765747070312,13.234193801879883,11
-24.83190155029297,-20.82941436767578,13.212308883666992,11
-24.638742446899414,-20.774131774902344,13.246665000915527,11
-24.358381271362305,-20.613943099975586,13.307343482971191,11
-24.512842178344727,-20.62017059326172,13.288921356201172,11
-24.465660095214844,-20.617164611816406,13.279145240783691,11
-24.631065368652344,-20.610149383544922,13.246553421020508,11
-24.663427352905273,-20.590316772460938,13.243905067443848,11
-24.397951126098633,-20.490446090698242,13.305086135864258,11
-24.47637367248535,-20.518295288085938,13.313492774963379,11
-24.68250274658203,-20.585325241088867,13.298415184020996,11
-24.742990493774414,-20.60796356201172,13.270332336425781,11
-24.886022567749023,-20.77511978149414,13.208281517028809,11
-24.830175399780273,-20.71474838256836,13.243149757385254,11
-24.7531795501709,-20.5850887298584,13.247980117797852,11
-24.680992126464844,-20.458045959472656,13.247442245483398,11
