Cell 1,Cell 2,Cell 3,Cell 4,Sun Detection,Error Code,PSU Voltage,PSU Current
5.000119209289551,5.000096321105957,4.999619483947754,5.000003814697266,-0.0050009749829769135,10,0.0,0.0
5.000138282775879,5.000022888183594,4.999972820281982,5.000061988830566,0.0019390059169381857,10,0.5,1.07
5.000140190124512,5.000090599060059,4.9995317459106445,5.000087738037109,-0.0018598628230392933,10,1.0,1.32
5.000162124633789,5.000034332275391,4.999733924865723,5.000030517578125,-0.0020972921047359705,10,1.5,1.51
5.000136375427246,5.000072479248047,4.999666213989258,5.000092506408691,-0.00866616889834404,10,2.0,1.71
5.000133514404297,5.000112533569336,4.99946928024292,5.000124931335449,0.006964592728763819,10,2.5,1.88
5.000181198120117,5.000001907348633,4.999857425689697,5.000218391418457,-0.013968756422400475,10,3.0,2.07
4.999738693237305,4.999659538269043,4.998632431030273,4.999422073364258,0.07233679294586182,10,3.5,2.23
4.998873710632324,4.999157428741455,4.995852470397949,4.99831485748291,0.14925210177898407,10,4.0,2.37
4.997062683105469,4.995988368988037,4.991658687591553,4.9950480461120605,0.2813165485858917,10,4.5,2.51
4.992586135864258,4.99112606048584,4.98747444152832,4.99391508102417,0.5376214385032654,10,5.0,2.65
4.987017631530762,4.98375129699707,4.981320381164551,4.9858012199401855,1.0196346044540405,10,5.5,2.8
4.975240230560303,4.972415924072266,4.969961166381836,4.975037097930908,1.5534648895263672,10,6.0,2.93
4.968874931335449,4.96614408493042,4.963770389556885,4.968052387237549,1.9358159303665161,10,6.5,3.05
4.9568352699279785,4.952890872955322,4.951614856719971,4.955994129180908,2.6338424682617188,10,7.0,3.17
4.941709041595459,4.941071510314941,4.939520359039307,4.94174861907959,3.4894747734069824,11,7.5,3.28
4.931672096252441,4.92778205871582,4.9265851974487305,4.932537078857422,4.113854885101318,11,8.0,3.4
4.916407108306885,4.914041519165039,4.913692474365234,4.917553901672363,4.957263469696045,11,8.5,3.51
4.903411865234375,4.9007792472839355,4.900087833404541,4.904870510101318,5.777902126312256,11,9.0,3.62
4.8856425285339355,4.882997512817383,4.8844499588012695,4.886896133422852,6.7884955406188965,11,9.5,3.71
4.872677326202393,4.868512153625488,4.869865417480469,4.873558044433594,7.605518341064453,11,10.0,3.83
4.8517632484436035,4.847614288330078,4.850571155548096,4.853888511657715,8.742429733276367,11,10.5,3.92
4.833111763000488,4.829997539520264,4.833807468414307,4.835803985595703,9.850055694580078,11,11.0,4.02
4.814902305603027,4.811875820159912,4.817824363708496,4.821746349334717,10.887444496154785,11,11.5,4.12
4.792593955993652,4.7887959480285645,4.794977188110352,4.796018600463867,12.141690254211426,11,12.0,4.22
