Cell 1,Cell 2,Cell 3,Cell 4
5.000154495239258,5.00009822845459,4.999443054199219,5.000133514404297
5.000130653381348,5.000044822692871,4.999636650085449,5.000176429748535
5.000097274780273,4.999992370605469,5.000009536743164,5.0001420974731445
5.000127792358398,5.0000410079956055,4.999414443969727,5.0000762939453125
5.000147819519043,5.000112533569336,4.999453544616699,5.000091552734375
5.000179290771484,5.000092506408691,4.9997735023498535,5.000152587890625
5.000173568725586,5.000030517578125,4.999896049499512,5.000170707702637
5.000148773193359,4.999987602233887,5.000176906585693,5.000130653381348
5.000119209289551,5.000072479248047,4.999965667724609,5.000073432922363
5.000099182128906,5.000109672546387,4.999842643737793,5.000100135803223
5.0001325607299805,5.000083923339844,4.99987268447876,5.00016975402832
5.000156402587891,5.000019073486328,4.999847412109375,5.000164985656738
5.000187873840332,4.999987602233887,4.99993371963501,5.000113487243652
5.00015926361084,5.00009822845459,4.999765872955322,5.000078201293945
5.000139236450195,5.000103950500488,4.999584197998047,5.000116348266602
5.000107765197754,5.000067710876465,4.999800682067871,5.000178337097168
5.000113487243652,5.000007629394531,4.9996843338012695,5.00015926361084
5.000138282775879,5.000001907348633,4.999811172485352,5.000093460083008
5.0001678466796875,5.000110626220703,5.000109672546387,5.000083923339844
5.000187873840332,5.00009822845459,4.999924659729004,5.000133514404297
5.000154495239258,5.0000505447387695,4.99961519241333,5.000178337097168
5.000130653381348,4.999996185302734,4.999490737915039,5.000147819519043
5.000099182128906,5.000030517578125,4.999786853790283,5.000079154968262
5.000127792358398,5.000113487243652,4.999908924102783,5.000089645385742
5.000147819519043,5.000092506408691,4.999852180480957,5.000152587890625
5.000179290771484,5.000034332275391,4.999999523162842,5.0001726150512695
5.000173568725586,4.999987602233887,4.99980354309082,5.000130653381348
5.000148773193359,5.000061988830566,4.999781608581543,5.000073432922363
5.000119209289551,5.000110626220703,5.000100135803223,5.000096321105957
5.000099182128906,5.000083923339844,5.000035285949707,5.00016975402832
5.0001325607299805,5.000022888183594,4.999739170074463,5.000166893005371
5.000156402587891,4.999987602233887,4.999597549438477,5.000113487243652
5.000187873840332,5.000090599060059,4.999776840209961,5.0000762939453125
5.00015926361084,5.000105857849121,4.999900817871094,5.000110626220703
5.000139236450195,5.000067710876465,4.999940395355225,5.000178337097168
5.000107765197754,5.000011444091797,4.999550819396973,5.000161170959473
5.000113487243652,5.000001907348633,4.999773025512695,5.000093460083008
5.000138282775879,5.000107765197754,4.999843597412109,5.000082015991211
5.0001678466796875,5.000100135803223,4.999677658081055,5.000127792358398
5.000189781188965,5.000056266784668,4.999698162078857,5.000179290771484
5.000154495239258,5.0,4.999749660491943,5.000152587890625
5.000130653381348,5.000030517578125,4.9996538162231445,5.000079154968262
5.000099182128906,5.000113487243652,4.999700546264648,5.000087738037109
5.000127792358398,5.000094413757324,4.999853134155273,5.00014591217041
5.00014591217041,5.000039100646973,4.999619960784912,5.000174522399902
5.000179290771484,4.9999895095825195,4.9994916915893555,5.000136375427246
5.000173568725586,5.000061988830566,4.999736785888672,5.000073432922363
5.000148773193359,5.0001115798950195,4.99992561340332,5.000093460083008
5.000119209289551,5.000087738037109,4.999966621398926,5.000164985656738
5.000097274780273,5.000026702880859,5.0000834465026855,5.000168800354004
5.0001325607299805,4.99998664855957,4.999839782714844,5.000119209289551
5.000156402587891,5.000090599060059,4.999746322631836,5.0000762939453125
5.000187873840332,5.000107765197754,4.999826908111572,5.000104904174805
5.00015926361084,5.000073432922363,4.999777793884277,5.000176429748535
5.000141143798828,5.0000152587890625,4.999643802642822,5.0001630783081055
5.000107765197754,4.999995231628418,4.999746799468994,5.000100135803223
5.000113487243652,5.000107765197754,4.999528884887695,5.000082015991211
5.000138282775879,5.0001020431518555,4.999574661254883,5.0001220703125
5.0001678466796875,5.000056266784668,4.9996185302734375,5.000179290771484
5.000189781188965,5.000003814697266,4.999897480010986,5.000156402587891
5.000154495239258,5.0000200271606445,4.999869346618652,5.000082969665527
5.000130653381348,5.000113487243652,5.000043869018555,5.000087738037109
5.000099182128906,5.000096321105957,4.999879360198975,5.000139236450195
5.000127792358398,5.000039100646973,4.999756336212158,5.000174522399902
5.00014591217041,4.999992370605469,4.999725341796875,5.0001420974731445
