Alpha,Beta,Sun Detection,Error Code
-41.531517028808594,-45.113677978515625,7.859745502471924,11
-42.568153381347656,-45.968040466308594,7.946953296661377,11
-42.96681213378906,-46.00653839111328,7.974431991577148,11
-41.7270622253418,-44.30967330932617,7.853446960449219,11
-41.76430130004883,-44.817256927490234,7.883162021636963,11
-41.97038650512695,-45.31862258911133,7.906683444976807,11
-41.2371940612793,-44.36930847167969,7.809502124786377,11
-41.46519470214844,-44.717437744140625,7.863979339599609,11
-41.8740119934082,-45.46355056762695,7.94117546081543,11
-41.98268127441406,-45.57976531982422,7.934431076049805,11
-42.972869873046875,-46.51283264160156,8.03492546081543,11
-42.60401916503906,-45.713645935058594,7.966569423675537,11
-41.9494743347168,-44.67634201049805,7.844948768615723,11
-41.66276550292969,-44.8574333190918,7.825987339019775,11
-41.888916015625,-45.365848541259766,7.905981540679932,11
-42.118343353271484,-44.729427337646484,7.894641399383545,11
-41.5739860534668,-44.00480651855469,7.826330661773682,11
-41.17661666870117,-43.58380889892578,7.78784704208374,11
-41.30686950683594,-44.600528717041016,7.823439598083496,11
-40.97160720825195,-44.463382720947266,7.797019004821777,11
-40.9847526550293,-43.76140594482422,7.739130973815918,11
-42.4507942199707,-45.2720832824707,7.889122009277344,11
-42.863407135009766,-46.26811218261719,7.974198341369629,11
-41.875850677490234,-45.68001937866211,7.916952133178711,11
-41.342201232910156,-44.66943359375,7.825916767120361,11
-41.62473678588867,-44.5617790222168,7.86823034286499,11
-41.357139587402344,-44.309749603271484,7.8520050048828125,11
-40.715755462646484,-43.8935432434082,7.750425338745117,11
-40.783023834228516,-44.229278564453125,7.756019115447998,11
-41.741085052490234,-45.008296966552734,7.886211395263672,11
-41.82280731201172,-44.803958892822266,7.894799709320068,11
-40.90932083129883,-43.966339111328125,7.794349670410156,11
-41.15921401977539,-44.213199615478516,7.8216328620910645,11
-41.09126281738281,-44.285919189453125,7.8074493408203125,11
-41.6492919921875,-45.27422332763672,7.892716407775879,11
-41.685455322265625,-45.091678619384766,7.878814220428467,11
-42.372886657714844,-45.267372131347656,7.916923999786377,11
-43.161258697509766,-46.188934326171875,7.982975482940674,11
-41.86781692504883,-44.739532470703125,7.843945026397705,11
-41.100990295410156,-44.049808502197266,7.811975002288818,11
-40.802001953125,-43.70685958862305,7.782954692840576,11
-41.61868667602539,-44.23015594482422,7.839606761932373,11
-41.31385803222656,-44.196014404296875,7.853567600250244,11
-40.978248596191406,-44.447383880615234,7.848578453063965,11
-41.683685302734375,-45.50258255004883,7.918901443481445,11
-42.308616638183594,-45.9267692565918,7.961921215057373,11
-42.08766174316406,-44.841270446777344,7.865837097167969,11
-40.25975036621094,-43.08426284790039,7.695758819580078,11
-40.08012390136719,-42.8460693359375,7.6779022216796875,11
-40.477237701416016,-43.426368713378906,7.716324806213379,11
-41.060218811035156,-44.16047286987305,7.753323554992676,11
-41.468040466308594,-44.378719329833984,7.791598320007324,11
-41.584468841552734,-44.41566848754883,7.814355373382568,11
-40.94974136352539,-43.60557174682617,7.767942905426025,11
-43.01884841918945,-46.04818344116211,8.013690948486328,11
-44.102752685546875,-46.583980560302734,8.08122730255127,11
-42.47398376464844,-44.708290100097656,7.90882682800293,11
-41.08100128173828,-43.46944808959961,7.778045177459717,11
-41.332157135009766,-44.02602005004883,7.8081207275390625,11
-40.923274993896484,-44.18501281738281,7.793190002441406,11
-41.12104415893555,-44.233455657958984,7.829833507537842,11
-41.768165588378906,-44.63125991821289,7.8634352684021,11
-42.414066314697266,-45.295997619628906,7.9249043464660645,11
-41.9370002746582,-44.740047454833984,7.899057388305664,11
-41.13111877441406,-44.113094329833984,7.830651760101318,11
-42.089599609375,-45.08637619018555,7.900925159454346,11
-41.61412048339844,-44.324249267578125,7.826747417449951,11
-41.508827209472656,-44.25017166137695,7.8582305908203125,11
-41.19255065917969,-44.02753448486328,7.787556171417236,11
-40.919639587402344,-43.99845886230469,7.792403697967529,11
-40.677791595458984,-44.385345458984375,7.80793571472168,11
-41.52988815307617,-45.09132766723633,7.848983287811279,11
-41.438575744628906,-44.82210922241211,7.821453094482422,11
-41.17619705200195,-44.30259704589844,7.796231746673584,11
-41.608375549316406,-44.150169372558594,7.817183017730713,11
-41.340309143066406,-44.14114761352539,7.794503211975098,11
-41.81133270263672,-45.072689056396484,7.890773773193359,11
-43.2818489074707,-46.77535629272461,8.111628532409668,11
-42.51708984375,-45.73948287963867,7.990864276885986,11
-42.328697204589844,-45.09572219848633,7.920173168182373,11
-42.668907165527344,-45.75735855102539,7.981974124908447,11
-42.437355041503906,-45.43179702758789,7.959637641906738,11
-41.778167724609375,-44.84043884277344,7.880195617675781,11
-42.013423919677734,-45.11697769165039,7.8863396644592285,11
-42.24930191040039,-45.36098098754883,7.898225784301758,11
-41.6640739440918,-44.55421829223633,7.837122917175293,11
-40.528045654296875,-43.162315368652344,7.733409404754639,11
-40.88253402709961,-43.479183197021484,7.763617992401123,11
-41.33201599121094,-43.907779693603516,7.843887805938721,11
-42.61701202392578,-45.857139587402344,8.029170989990234,11
-42.48528289794922,-45.893524169921875,8.015600204467773,11
-41.97312927246094,-45.38661575317383,7.938197612762451,11
-42.5178108215332,-45.73484420776367,7.958290100097656,11
-40.94574737548828,-43.78253936767578,7.725511074066162,11
-40.84162902832031,-43.61808776855469,7.723357200622559,11
-40.603858947753906,-43.697242736816406,7.776200294494629,11
-42.17278289794922,-45.42222595214844,7.93704891204834,11
-42.780845642089844,-46.13225555419922,8.007857322692871,11
-41.294212341308594,-45.04291915893555,7.859684467315674,11
-40.975521087646484,-44.342525482177734,7.790032386779785,11
-41.417144775390625,-44.101139068603516,7.795409202575684,11
-41.7713737487793,-44.47858428955078,7.8359174728393555,11
-40.868408203125,-44.11492156982422,7.782431602478027,11
-41.27777862548828,-44.4329833984375,7.817429065704346,11
-43.050384521484375,-46.047752380371094,8.002425193786621,11
-42.19264221191406,-44.97526931762695,7.885543346405029,11
-40.987510681152344,-43.961143493652344,7.784866809844971,11
-41.667911529541016,-45.236534118652344,7.878406524658203,11
-41.615692138671875,-45.377445220947266,7.87584114074707,11
-41.60652160644531,-44.64106369018555,7.835859775543213,11
-40.93783187866211,-43.668338775634766,7.7263617515563965,11
-40.45466613769531,-43.20091247558594,7.70477294921875,11
