Alpha,Beta,Sun Detection,Error Code
33.7533073425293,-0.22239802777767181,28.105627059936523,11
33.78202819824219,-0.23021529614925385,28.136882781982422,11
33.80961608886719,-0.33664634823799133,28.08668327331543,11
33.777610778808594,-0.29945164918899536,28.06329345703125,11
33.845252990722656,-0.2726311683654785,28.076208114624023,11
33.898406982421875,-0.2523931562900543,28.084110260009766,11
33.86329650878906,-0.25891047716140747,28.02619171142578,11
33.89802551269531,-0.30576932430267334,28.050628662109375,11
33.879207611083984,-0.2797265350818634,28.12439727783203,11
33.761070251464844,-0.256542444229126,28.152353286743164,11
33.7335090637207,-0.29902637004852295,28.09786033630371,11
33.71268081665039,-0.22441017627716064,28.05961036682129,11
33.69501876831055,-0.21252895891666412,28.109098434448242,11
33.77013397216797,-0.2891865074634552,28.126426696777344,11
33.804176330566406,-0.27929621934890747,28.125566482543945,11
33.78013610839844,-0.21192516386508942,28.1246337890625,11
33.7662467956543,-0.2413616180419922,28.094131469726562,11
33.78313446044922,-0.2526378035545349,28.098604202270508,11
33.820404052734375,-0.238383948802948,28.118465423583984,11
33.83869934082031,-0.2981339395046234,28.053382873535156,11
33.7576789855957,-0.3402768671512604,28.04330062866211,11
33.68024444580078,-0.22772862017154694,28.132448196411133,11
33.77412033081055,-0.213643878698349,28.145843505859375,11
33.82843780517578,-0.23116835951805115,28.120378494262695,11
33.73345947265625,-0.24544689059257507,28.101299285888672,11
33.720787048339844,-0.2590932548046112,28.135379791259766,11
33.693687438964844,-0.2039305865764618,28.154478073120117,11
33.77694320678711,-0.2281772643327713,28.094804763793945,11
33.86062240600586,-0.29538261890411377,28.0357608795166,11
33.777706146240234,-0.33370885252952576,28.048349380493164,11
33.696773529052734,-0.27909234166145325,28.114978790283203,11
33.72907638549805,-0.24050357937812805,28.10651969909668,11
33.72175216674805,-0.19755852222442627,28.093538284301758,11
33.69745635986328,-0.1730082631111145,28.123489379882812,11
33.733009338378906,-0.17778626084327698,28.140892028808594,11
33.81856918334961,-0.22149662673473358,28.117572784423828,11
33.801021575927734,-0.2534728944301605,28.114852905273438,11
33.78772735595703,-0.24188046157360077,28.139198303222656,11
33.80614471435547,-0.24272167682647705,28.124818801879883,11
33.802120208740234,-0.2520739436149597,28.122066497802734,11
33.83383560180664,-0.2728442847728729,28.067968368530273,11
33.795284271240234,-0.2612914443016052,28.082521438598633,11
33.794700622558594,-0.2875708043575287,28.103229522705078,11
33.82170486450195,-0.31498783826828003,28.068294525146484,11
33.79826736450195,-0.23267845809459686,28.092708587646484,11
33.73649978637695,-0.22936996817588806,28.171119689941406,11
33.74851989746094,-0.25580012798309326,28.173629760742188,11
33.80085754394531,-0.27157366275787354,28.130054473876953,11
33.81364822387695,-0.23023803532123566,28.082910537719727,11
33.756221771240234,-0.14180248975753784,28.082250595092773,11
33.76087951660156,-0.21545791625976562,28.081932067871094,11
33.806129455566406,-0.2766941785812378,28.10208511352539,11
33.78569412231445,-0.21664386987686157,28.130525588989258,11
33.809085845947266,-0.2267373651266098,28.136856079101562,11
33.77263259887695,-0.22520935535430908,28.139453887939453,11
33.77425003051758,-0.18808917701244354,28.124433517456055,11
33.728050231933594,-0.21596713364124298,28.15291404724121,11
33.81282043457031,-0.2664365768432617,28.084651947021484,11
33.846378326416016,-0.2565174400806427,28.131044387817383,11
33.73323440551758,-0.28528061509132385,28.138795852661133,11
33.733436584472656,-0.3266009986400604,28.073734283447266,11
33.69118881225586,-0.2089024782180786,28.12111473083496,11
33.757781982421875,-0.2110813856124878,28.130023956298828,11
33.86704635620117,-0.2600345015525818,28.071163177490234,11
33.78642654418945,-0.22946064174175262,28.094919204711914,11
33.78936767578125,-0.3084808588027954,28.084497451782227,11
33.75861740112305,-0.2899116277694702,28.087682723999023,11
33.84945297241211,-0.23183220624923706,28.057302474975586,11
33.83536148071289,-0.19779212772846222,28.069334030151367,11
33.799251556396484,-0.23423317074775696,28.074193954467773,11
33.777278900146484,-0.2622734308242798,28.072107315063477,11
