Alpha,Beta,Sun Detection,Error Code
-0.03697223588824272,-20.757976531982422,30.70096206665039,11
-0.055478133261203766,-20.737651824951172,30.73724937438965,11
-0.09168804436922073,-20.856487274169922,30.649919509887695,11
-0.08459602296352386,-20.761438369750977,30.64101791381836,11
-0.04367893189191818,-20.710168838500977,30.70261573791504,11
-0.12165294587612152,-20.807153701782227,30.644493103027344,11
-0.1509930044412613,-20.872936248779297,30.684656143188477,11
-0.11307518184185028,-20.822763442993164,30.793487548828125,11
-0.08691490441560745,-20.815074920654297,30.782434463500977,11
-0.10193553566932678,-20.89291763305664,30.709484100341797,11
-0.08731064200401306,-20.814870834350586,30.734033584594727,11
-0.06085529178380966,-20.784143447875977,30.732927322387695,11
-0.06441345065832138,-20.898672103881836,30.648963928222656,11
-0.045064009726047516,-20.874406814575195,30.701759338378906,11
-0.007267685141414404,-20.838903427124023,30.71892738342285,11
-0.05201370269060135,-20.740835189819336,30.764907836914062,11
-0.1026436984539032,-20.698780059814453,30.73685073852539,11
-0.09248992800712585,-20.810791015625,30.69158935546875,11
-0.08988292515277863,-20.857093811035156,30.692419052124023,11
-0.08746685087680817,-20.860342025756836,30.7149658203125,11
-0.02586383745074272,-20.847457885742188,30.677000045776367,11
-0.010534248314797878,-20.898387908935547,30.62358283996582,11
-0.05033355578780174,-20.879457473754883,30.64873504638672,11
-0.0610288605093956,-20.848552703857422,30.718372344970703,11
-0.01233242079615593,-20.858997344970703,30.715757369995117,11
0.013845214620232582,-20.819089889526367,30.70295524597168,11
-0.01919879950582981,-20.772279739379883,30.73807144165039,11
-0.04422393813729286,-20.79538345336914,30.695486068725586,11
-0.05587734282016754,-20.852235794067383,30.65974235534668,11
-0.09881477057933807,-20.842552185058594,30.69305992126465,11
-0.11388053745031357,-20.875280380249023,30.696304321289062,11
-0.11053760349750519,-20.888734817504883,30.714630126953125,11
-0.03137638047337532,-20.938304901123047,30.661174774169922,11
-0.04169677570462227,-20.858047485351562,30.67087173461914,11
-0.1165396124124527,-20.790546417236328,30.666641235351562,11
-0.07007526606321335,-20.838396072387695,30.618892669677734,11
0.006010322365909815,-20.867883682250977,30.653444290161133,11
0.010943145491182804,-20.822351455688477,30.711009979248047,11
0.010731391608715057,-20.781572341918945,30.750680923461914,11
-0.03828441724181175,-20.794275283813477,30.756376266479492,11
-0.060765039175748825,-20.855504989624023,30.673023223876953,11
-0.0996791422367096,-20.934398651123047,30.595020294189453,11
-0.09294120967388153,-20.892335891723633,30.62206268310547,11
-0.06343105435371399,-20.919015884399414,30.65798568725586,11
-0.06023044511675835,-20.993488311767578,30.658540725708008,11
-0.03392089903354645,-20.921499252319336,30.697999954223633,11
-0.02245841920375824,-20.832639694213867,30.69626808166504,11
-0.061119116842746735,-20.794931411743164,30.68027687072754,11
-0.07027313113212585,-20.751752853393555,30.717086791992188,11
-0.03651401400566101,-20.790674209594727,30.7073974609375,11
-0.04694549739360809,-20.833559036254883,30.661712646484375,11
-0.04681358486413956,-20.761781692504883,30.742584228515625,11
-0.02113235555589199,-20.778064727783203,30.754663467407227,11
-0.03681602329015732,-20.77216148376465,30.743629455566406,11
-0.039575766772031784,-20.737712860107422,30.748353958129883,11
-0.052530936896800995,-20.799179077148438,30.72979736328125,11
-0.08786258846521378,-20.83330726623535,30.704397201538086,11
-0.12116347998380661,-20.816686630249023,30.719566345214844,11
-0.11591476202011108,-20.861522674560547,30.713279724121094,11
-0.07265796512365341,-20.79198455810547,30.764259338378906,11
-0.024555129930377007,-20.724496841430664,30.78302574157715,11
-0.046462975442409515,-20.759206771850586,30.725614547729492,11
-0.06872837245464325,-20.868244171142578,30.691692352294922,11
-0.0023105621803551912,-20.884504318237305,30.711030960083008,11
-0.030668221414089203,-20.82996368408203,30.636999130249023,11
-0.08545692265033722,-20.845766067504883,30.65975570678711,11
-0.11769210547208786,-20.786205291748047,30.702085494995117,11
-0.15788716077804565,-20.689897537231445,30.76802635192871,11
-0.1710263043642044,-20.720643997192383,30.704416275024414,11
-0.16397246718406677,-20.8489933013916,30.65991973876953,11
