entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,06:52:07 GMT,0.407,1,1,0,0,4,1,5.048,7.9,39.879,currTest,RW0-0072,20200914235206
2,06:52:07 GMT,0.825,1,1,0,0,1,1,5.068,5.1,25.847,currTest,RW0-0072,20200914235206
3,06:52:08 GMT,1.244,1,1,0,0,1,1,5.056,8.8,44.493,currTest,RW0-0072,20200914235206
4,06:52:08 GMT,1.662,1,1,0,0,1,1,5.056,9.3,47.021,currTest,RW0-0072,20200914235206
5,06:52:08 GMT,2.081,1,1,0,0,1,1,5.056,8.5,42.976,currTest,RW0-0072,20200914235206
6,06:52:09 GMT,2.499,1,1,0,0,1,1,5.064,4.8,24.307,currTest,RW0-0072,20200914235206
7,06:52:09 GMT,2.918,1,1,0,0,1,1,5.064,7.6,38.486,currTest,RW0-0072,20200914235206
8,06:52:10 GMT,3.336,1,1,0,0,1,1,5.056,9.5,48.032,currTest,RW0-0072,20200914235206
9,06:52:10 GMT,3.755,1,1,0,0,1,1,5.052,9.1,45.973,currTest,RW0-0072,20200914235206
10,06:52:11 GMT,4.173,1,1,0,0,1,1,5.06,6.2,31.372,currTest,RW0-0072,20200914235206
11,06:52:11 GMT,4.592,1,1,0,0,1,1,5.068,5.3,26.86,currTest,RW0-0072,20200914235206
