entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,07:01:05 GMT,0.407,1,1,0,0,4,1,5.044,8.7,43.883,currTest,RW0-0072,20200915000105
2,07:01:06 GMT,0.826,1,1,0,0,4,1,5.064,7.2,36.461,currTest,RW0-0072,20200915000105
3,07:01:06 GMT,1.245,1,1,0,0,1,1,5.06,8.2,41.492,currTest,RW0-0072,20200915000105
4,07:01:06 GMT,1.663,spiError,5.052,9.2,46.478,currTest,RW0-0072,20200915000105
5,07:01:07 GMT,2.082,1,1,0,0,1,1,5.06,5.9,29.854,currTest,RW0-0072,20200915000105
6,07:01:07 GMT,2.501,1,1,0,0,1,1,5.056,10.2,51.571,currTest,RW0-0072,20200915000105
7,07:01:08 GMT,2.92,1,1,0,0,1,1,5.064,6.1,30.89,currTest,RW0-0072,20200915000105
8,07:01:08 GMT,3.338,1,1,0,0,1,1,5.06,9.9,50.094,currTest,RW0-0072,20200915000105
9,07:01:09 GMT,3.757,1,1,0,0,1,1,5.06,6.3,31.878,currTest,RW0-0072,20200915000105
10,07:01:09 GMT,4.176,1,1,0,0,1,1,5.056,10.1,51.066,currTest,RW0-0072,20200915000105
11,07:01:09 GMT,4.595,1,1,0,0,1,1,5.068,5.7,28.888,currTest,RW0-0072,20200915000105
12,07:01:10 GMT,5.014,1,1,0,0,1,1,5.064,9.0,45.576,currTest,RW0-0072,20200915000105
13,07:01:10 GMT,5.433,1,1,0,0,1,1,5.064,6.0,30.384,currTest,RW0-0072,20200915000105
14,07:01:11 GMT,5.852,1,1,0,0,1,1,5.056,7.9,39.942,currTest,RW0-0072,20200915000105
15,07:01:11 GMT,6.27,1,1,0,0,1,1,5.064,6.1,30.89,currTest,RW0-0072,20200915000105
16,07:01:11 GMT,6.689,1,1,0,0,1,1,5.064,8.5,43.044,currTest,RW0-0072,20200915000105
17,07:01:12 GMT,7.108,1,1,0,0,1,1,5.064,6.8,34.435,currTest,RW0-0072,20200915000105
18,07:01:12 GMT,7.527,1,1,0,0,1,1,5.056,8.3,41.965,currTest,RW0-0072,20200915000105
19,07:01:13 GMT,7.946,1,1,0,0,1,1,5.064,8.0,40.512,currTest,RW0-0072,20200915000105
20,07:01:13 GMT,8.365,1,1,0,0,1,1,5.06,7.4,37.444,currTest,RW0-0072,20200915000105
21,07:01:14 GMT,8.783,spiError,5.076,4.5,22.842,currTest,RW0-0072,20200915000105
22,07:01:14 GMT,9.202,1,1,0,0,1,1,5.052,10.1,51.025,currTest,RW0-0072,20200915000105
23,07:01:14 GMT,9.621,1,1,0,0,1,1,5.064,4.8,24.307,currTest,RW0-0072,20200915000105
24,07:01:15 GMT,10.04,1,1,0,0,1,1,5.06,7.8,39.468,currTest,RW0-0072,20200915000105
